feature,target,r,p_value,abs_r
不挥发酸,s_醋酸味,0.9714692550673495,1.4192272427167258e-07,0.9714692550673495
总酸,s_醋酸味,0.9246403831437765,1.6850030444677374e-05,0.9246403831437765
醋龄月,s_柔和度,0.9108446020690876,3.8136264820387524e-05,0.9108446020690876
不挥发酸,s_持久度,0.8140653589244515,0.001269110915545259,0.8140653589244515
醋龄月,s_酱香,0.7899728864185522,0.002234757787892709,0.7899728864185522
醋龄月,s_米醋香,0.788023537008951,0.002332164168688652,0.788023537008951
总游离氨基酸,s_持久度,0.7754253386748677,0.0030422146601659927,0.7754253386748677
醋龄月,s_谷物香,0.7419510488309877,0.005731273142031843,0.7419510488309877
不挥发酸,s_酱香,0.7417664770310447,0.005749840379841264,0.7417664770310447
醋龄月,s_持久度,0.7395774043542545,0.005973525032791482,0.7395774043542545
总酸,s_苦味,0.7381779702104035,0.006119914221298565,0.7381779702104035
OAV_乙酸乙酯,s_持久度,0.7307599958501068,0.0069414327093656955,0.7307599958501068
不挥发酸,s_风味,0.724517012482966,0.007694712054291228,0.724517012482966
醋龄月,s_风味,0.7180616740088105,0.008536337116596052,0.7180616740088105
不挥发酸,s_炒米香,0.7093688737800424,0.009776058956552713,0.7093688737800424
总酸,s_持久度,0.7070388131025634,0.010130017830936032,0.7070388131025634
醋龄月,s_炒米香,0.7060769661942363,0.01027887910059711,0.7060769661942363
总游离氨基酸,s_醋酸味,0.6931678525612438,0.0124381216106414,0.6931678525612438
不挥发酸,s_米醋香,0.6806584957500033,0.014834484762612746,0.6806584957500033
总酸,s_酱香,0.665168847568568,0.01825378646964153,0.665168847568568
总酸,s_风味,0.6621561948876974,0.018980595611385043,0.6621561948876974
总酸,s_炒米香,0.6542568209089836,0.020986730053769293,0.6542568209089836
不挥发酸,s_苦味,0.6341602639259499,0.026783114755671265,0.6341602639259499
总游离氨基酸,s_柔和度,0.6333387948758374,0.027042262212624554,0.6333387948758374
醋龄月,s_甜味,0.6158616544935878,0.03299530121617737,0.6158616544935878
OAV_乙酸乙酯,s_醋酸味,0.6111159817876732,0.034761844000720264,0.6111159817876732
OAV_乙酸乙酯,s_柔和度,0.597287472432513,0.04029425242713622,0.597287472432513
总酸,s_米醋香,0.5884162514832891,0.04415645364176253,0.5884162514832891
OAV_乙酸乙酯,s_甜味,0.565516523010621,0.05532372253143035,0.565516523010621
总酸,s_咸味,0.5613303018318924,0.057559752513279515,0.5613303018318924
不挥发酸,s_咸味,0.5566401828263461,0.06013888083719238,0.5566401828263461
不挥发酸,s_谷物香,0.527338029218566,0.07809000415985362,0.527338029218566
总游离氨基酸,s_酱香,0.5207611583291832,0.0825709952755221,0.5207611583291832
总酸,s_谷物香,0.4818302496745027,0.11269615487306331,0.4818302496745027
还原糖,s_醋酸味,0.4626250829749704,0.1299249398253446,0.4626250829749704
总游离氨基酸,s_甜味,0.42514330655989185,0.16828070745987384,0.42514330655989185
总游离氨基酸,s_米醋香,0.4249483541999631,0.16849691822892757,0.4249483541999631
总游离氨基酸,s_风味,0.4141894390518681,0.18070095217364635,0.4141894390518681
醋龄月,s_咸味,0.4006920397462267,0.19677052952910112,0.4006920397462267
总游离氨基酸,s_炒米香,0.38254748658914167,0.21971269947218397,0.38254748658914167
还原糖,s_甜味,-0.36749572027507743,0.23991428562648592,0.36749572027507743
OAV_乙酸乙酯,s_酱香,0.3596447662595138,0.2508723564265469,0.3596447662595138
不挥发酸,s_柔和度,0.3153813743184362,0.31801114208910886,0.3153813743184362
醋龄月,s_醋酸味,0.3105602229457409,0.325866592782769,0.3105602229457409
总游离氨基酸,s_谷物香,0.3104325964842813,0.3260759706545061,0.3104325964842813
总酸,s_甜味,-0.287858813121778,0.36425405212911455,0.287858813121778
OAV_乙酸乙酯,s_米醋香,0.24830584692512617,0.4364624562589587,0.24830584692512617
OAV_乙酸乙酯,s_风味,0.23855908679416676,0.4552483292427889,0.23855908679416676
还原糖,s_苦味,0.2290184467100914,0.47399940980741206,0.2290184467100914
还原糖,s_持久度,0.19290398483095078,0.5480542938008794,0.19290398483095078
OAV_乙酸乙酯,s_炒米香,0.18313241572568859,0.5688767169908153,0.18313241572568859
OAV_乙酸乙酯,s_咸味,-0.1800434885794654,0.5755242329077298,0.1800434885794654
不挥发酸,s_甜味,-0.17946318951040005,0.5767764947952643,0.17946318951040005
还原糖,s_咸味,0.15402582232806228,0.632688971619263,0.15402582232806228
总酸,s_柔和度,0.1471485604112755,0.6481295470305322,0.1471485604112755
还原糖,s_柔和度,-0.14657053209600723,0.6494332322223828,0.14657053209600723
OAV_乙酸乙酯,s_谷物香,0.09345296123180238,0.7726751898743288,0.09345296123180238
还原糖,s_风味,0.07976369885370016,0.8053621734335381,0.07976369885370016
还原糖,s_炒米香,0.07427707462443758,0.8185467353583697,0.07427707462443758
还原糖,s_酱香,0.06824583592983893,0.8330898613447811,0.06824583592983893
还原糖,s_谷物香,-0.05986912306811,0.8533676845677205,0.05986912306811
OAV_乙酸乙酯,s_苦味,-0.050394261036710734,0.8764018500510626,0.050394261036710734
总游离氨基酸,s_苦味,0.049024543697559105,0.8797394428332619,0.049024543697559105
醋龄月,s_苦味,0.04693232544639323,0.884841008393347,0.04693232544639323
总游离氨基酸,s_咸味,0.03238826779438465,0.9204058734459923,0.03238826779438465
还原糖,s_米醋香,0.025788717558917776,0.9365918209000593,0.025788717558917776
