样品,总分,综合等级,国标等级,酸度_分,酸度_等级,不挥发酸_分,不挥发酸_等级,还原糖_分,还原糖_等级,氨基酸态氮_分,氨基酸态氮_等级,柔和度_分,柔和度_等级,酯香_分,酯香_等级,川芎嗪_分,川芎嗪_等级,4项_合格,4项_优级
LI2025_TF,63,★★★ 合格,不合格,25,★★★★,12,★★,10,★★★,0,✗,7,★★,5,★,4,★★,3,3
LI2025_CF,74,★★★ 合格,不合格,25,★★★★,15,★★★,10,★★★,0,✗,10,★★★,10,★★,4,★★,3,3
HU2023_手工新醋,62,★★★ 合格,不合格,25,★★★★,15,★★★,10,★★★,0,✗,7,★★,5,★,0,★,3,3
HU2023_工业新醋,69,★★★ 合格,不合格,25,★★★★,15,★★★,10,★★★,0,✗,10,★★★,5,★,4,★★,3,3
HU2023_手工3年,67,★★★ 合格,不合格,22,★★★,15,★★★,8,★★,0,✗,10,★★★,5,★,7,★★,3,3
HU2023_工业3年,64,★★★ 合格,不合格,20,★★★,12,★★,10,★★★,0,✗,10,★★★,5,★,7,★★,3,3
REN2023_ZV3,55,★★ 普通,不合格,20,★★★,12,★★,4,★,0,✗,7,★★,5,★,7,★★,3,3
REN2023_ZV5,58,★★ 普通,不合格,22,★★★,12,★★,0,✗,0,✗,7,★★,10,★★,7,★★,2,2
REN2023_ZV8,80,★★★★ 优级,不合格,25,★★★★,15,★★★,10,★★★,0,✗,10,★★★,10,★★,10,★★★,3,3
WC2020_Day3,23,★ 次品,不合格,0,✗,0,✗,4,★,12,★★,7,★★,0,✗,0,★,2,2
WC2020_Day11,52,★★ 普通,合格,10,★,8,★,10,★★★,12,★★,7,★★,5,★,0,★,4,3
WC2020_Day21,62,★★★ 合格,优级,20,★★★,12,★★,6,★★,12,★★,7,★★,5,★,0,★,4,4
LX2022_0d,85,★★★★ 优级,优级,25,★★★★,15,★★★,8,★★,12,★★,10,★★★,5,★,10,★★★,4,4
LX2022_3d,88,★★★★ 优级,优级,25,★★★★,15,★★★,8,★★,15,★★★,10,★★★,5,★,10,★★★,4,4
LX2022_7d,93,★★★★★ 特级陈酿,优级,25,★★★★,15,★★★,8,★★,15,★★★,10,★★★,10,★★,10,★★★,4,4
LX2022_15d,93,★★★★★ 特级陈酿,优级,25,★★★★,15,★★★,8,★★,15,★★★,10,★★★,10,★★,10,★★★,4,4
LX2022_30d,93,★★★★★ 特级陈酿,优级,25,★★★★,15,★★★,8,★★,15,★★★,10,★★★,10,★★,10,★★★,4,4
LGQ2013_AVG22,66,★★★ 合格,不合格,20,★★★,15,★★★,6,★★,0,✗,10,★★★,5,★,10,★★★,3,3
RENR2023_ZV3_1,55,★★ 普通,不合格,20,★★★,12,★★,6,★★,0,✗,10,★★★,0,✗,7,★★,3,3
RENR2023_ZV3_2,55,★★ 普通,不合格,20,★★★,12,★★,6,★★,0,✗,10,★★★,0,✗,7,★★,3,3
RENR2023_ZV3_3,55,★★ 普通,不合格,20,★★★,12,★★,6,★★,0,✗,10,★★★,0,✗,7,★★,3,3
RENR2023_ZV5_1,49,★★ 普通,不合格,20,★★★,12,★★,0,✗,0,✗,10,★★★,0,✗,7,★★,2,2
RENR2023_ZV5_2,46,★★ 普通,不合格,20,★★★,12,★★,0,✗,0,✗,7,★★,0,✗,7,★★,2,2
RENR2023_ZV5_3,35,★ 次品,不合格,20,★★★,8,★,0,✗,0,✗,0,✗,0,✗,7,★★,2,2
RENR2023_ZV8_1,78,★★★★ 优级,优级,25,★★★★,15,★★★,10,★★★,8,★,10,★★★,0,✗,10,★★★,4,4
RENR2023_ZV8_2,78,★★★★ 优级,优级,25,★★★★,15,★★★,10,★★★,8,★,10,★★★,0,✗,10,★★★,4,4
RENR2023_ZV8_3,70,★★★ 合格,不合格,25,★★★★,15,★★★,10,★★★,0,✗,10,★★★,0,✗,10,★★★,3,3
